ts_utc,open,high,low,close,volume
1605787200,473.47,475.24,472.0,473.61,46894.78925
1605790800,473.61,476.93,473.4,476.24,48555.9862
1605794400,476.21,478.0,473.52,477.83,54206.74379
1605798000,477.83,478.44,475.22,475.52,45966.33917
1605801600,475.51,477.04,473.35,475.73,41265.23145
1605805200,475.72,475.76,473.22,474.76,22301.8532
1605808800,474.74,476.59,472.01,472.86,27616.61241
1605812400,472.89,474.56,471.31,474.1,18739.07335
1605816000,474.07,475.28,473.03,474.77,14064.57237
1605819600,474.77,476.52,471.62,472.47,26772.07919
1605823200,472.47,473.49,471.0,471.85,10808.01675
1605826800,471.85,473.09,468.63,471.25,26549.89505
1605830400,471.26,473.7,470.81,471.47,22371.70162
1605834000,471.5,479.5,470.65,479.39,32178.20803
1605837600,479.4,483.95,478.38,481.92,60724.18328
1605841200,481.94,487.75,481.93,484.86,68406.44901
1605844800,484.87,488.07,484.81,486.15,43561.06593
1605848400,486.15,486.75,482.0,484.8,35289.79872
1605852000,484.8,485.43,481.5,484.36,33139.35775
1605855600,484.33,493.98,483.52,491.47,140034.26143
1605859200,491.48,501.42,490.0,501.41,140901.66594
1605862800,501.41,501.68,492.22,495.12,77493.59064
1605866400,495.13,507.0,493.77,505.04,93630.35828
1605870000,505.06,508.08,502.53,505.19,66382.50766
1605873600,505.19,509.9,504.36,505.54,84045.96291
1605877200,505.55,509.54,503.51,507.93,62145.07162
1605880800,507.93,511.1,505.17,507.01,89823.33847
1605884400,507.01,507.22,500.0,504.73,88099.73408
1605888000,504.73,509.56,504.73,508.23,68462.32444
1605891600,508.23,514.4,505.57,513.91,63469.9055
1605895200,513.91,513.97,503.32,507.92,74113.47951
1605898800,507.92,510.89,505.87,509.97,36571.53017
1605902400,509.99,512.42,507.26,509.29,39723.83449
1605906000,509.29,509.44,505.85,508.89,30236.69201
1605909600,508.84,509.24,503.62,508.06,21746.30128
1605913200,508.07,512.0,505.02,510.12,43810.58459
1605916800,510.12,517.99,509.72,516.04,75961.23031
1605920400,516.05,517.4,513.66,514.68,46556.97382
1605924000,514.67,518.68,506.67,508.14,77311.48981
1605927600,508.15,512.42,506.99,507.99,45085.19284
1605931200,508.0,508.57,502.82,505.05,54249.3806
1605934800,505.03,508.88,504.41,508.33,26404.74751
1605938400,508.27,512.37,507.69,510.14,35757.00419
1605942000,510.14,511.71,508.0,510.25,32207.82952
1605945600,510.28,517.91,510.19,517.9,49402.7817
1605949200,517.9,518.0,510.21,511.88,57683.17289
1605952800,511.8,515.58,510.21,511.85,33543.52493
1605956400,511.87,513.74,507.6,509.33,42397.56861
1605960000,509.33,515.59,506.45,513.91,49831.6245
1605963600,513.93,523.96,513.71,522.99,103090.82093
1605967200,523.03,534.32,520.58,533.05,128577.93284
1605970800,533.09,539.57,529.7,537.1,115890.21314
1605974400,537.11,547.33,531.2,539.0,163438.31955
1605978000,538.95,545.36,532.31,544.98,88848.0145
1605981600,544.99,545.95,539.0,541.54,50507.389
1605985200,541.54,545.7,537.87,541.63,72340.49009
1605988800,541.62,541.75,538.01,541.13,40742.99244
1605992400,541.13,544.76,536.8,543.72,41876.78628
1605996000,543.71,543.71,535.64,542.58,37860.90569
1605999600,542.57,553.32,539.39,552.35,79284.90498
1606003200,552.42,561.59,542.93,550.72,146738.53691
1606006800,550.59,554.23,536.24,542.49,124944.55008
1606010400,542.49,550.72,541.53,548.31,57862.79941
